*metacsv_format_file*,,,,,,,,,
dataset_name,,,,,,,,,
source_file_name,,,,,,,,,
project_name,,,,,,,,,
description,,,,,,,,,
keywords,,,,,,,,,
data_source,,,,,,,,,
r_script_source,,,,,,,,,
file_creation_date,,,,,,,,,
last_modified_date,,,,,,,,,
version_number,,,,,,,,,
version_history,,,,,,,,,
editor_name_history,,,,,,,,,
data_collection_start_date,,,,,,,,,
data_collection_end_date,,,,,,,,,
data_collection_location,,,,,,,,,
species,,,,,,,,,
life_stage,,,,,,,,,
data_entered_by,,,,,,,,,
data_contributor,,,,,,,,,
data_owner,,,,,,,,,
institution,,,,,,,,,
data_point_of_contact,,,,,,,,,
data_POC_email,,,,,,,,,
archive_link,,,,,,,,,
how_to_cite,,,,,,,,,
acknowledgements,,,,,,,,,
related_datasets,,,,,,,,,
***,,,,,,,,,
variable_name,variable_long_name,units,description,data_type,format,missing_value_indicator,instrument,variable_min,variable_max
Spec Bag,,,,,,,,,
Experiment,,,,,,,,,
Unit,,,,,,,,,
ID_1,,,,,,,,,
ID_2,,,,,,,,,
ID_3,,,,,,,,,
TimeCollected,,,,,,,,,
Date,,,,,,,,,
pH of sample without correction,,,,,,,,,
###,,,,,,,,,
Spec Bag,Experiment,Unit,ID_1,ID_2,ID_3,TimeCollected,Date,pH of sample without correction,
8,Krill,Chamber,Bottle,NA,NA,12:15:00,5-Aug-21,5.525221107,
12,Krill,Chamber,Bottle,NA,NA,12:15:00,5-Aug-21,5.403421975,
11,Krill,Chamber,Well,SiliconeRubber(1/16),ParkwayPlastics,12:15:00,5-Aug-21,N/A,
10,Krill,Chamber,Well,foam_insert,ParkwayPlastics,12:15:00,5-Aug-21,5.464823763,
9,Krill,Chamber,Well,foam_insert,ParkwayPlastics,12:15:00,5-Aug-21,5.549234351,
7,Krill,Chamber,Well,SiliconeRubber(1/32),ParkwayPlastics,12:15:00,5-Aug-21,N/A,
6,Krill,Chamber,Well,no_insert,ColtPlastics,12:15:00,5-Aug-21,5.452643774,
5,Krill,Chamber,Well,no_insert,CaryPlastics,12:15:00,5-Aug-21,5.549234351,
4,Krill,Chamber,Well,no_insert,ParkwayPlastics,12:15:00,5-Aug-21,5.415813199,
3,Krill,Chamber,Well,no_insert,ColtPlastics,12:15:00,5-Aug-21,N/A,
2,Krill,Chamber,Well,SiliconeRubber(1/32),ParkwayPlastics,12:15:00,5-Aug-21,N/A,
1,Krill,Chamber,Well,no_insert,CaryPlastics,12:15:00,5-Aug-21,5.4890687,
